"","StationaryDistributionINF","StationaryDistributionPER","GOP","Importance","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"ZEQ.TO",0.003,0.008,0.011,0.397,3,-0.009,-0.004,-0.002,0,0,0.003,0.005,0.007,0.01,"ZEQ.TO","BMO MSCI Europe High Quality Hedged to CAD Index ETF"
"ZUH.TO",0.006,0.002,0.019,0.728,3,-0.01,-0.003,-0.001,0,0.001,0.004,0.006,0.009,0.014,"ZUH.TO","BMO Equal Weight US Health Care Hedged to CAD Index ETF"
"XMH.TO",0.004,0.001,0.013,0.763,3,-0.007,-0.003,-0.001,0,0.001,0.003,0.005,0.007,0.012,"XMH.TO","iShares S&P U.S. Mid-Cap Index ETF (CAD-Hedged)"
"ZWA.TO",0.012,0.001,0.037,0.749,3,-0.008,-0.003,-0.001,0,0.001,0.003,0.004,0.007,0.013,"ZWA.TO","BMO Covered Call Dow Jones Industrial Average Hedged to CAD ETF"
"ZDM.TO",0.008,0.003,0.023,0.566,3,-0.008,-0.004,-0.002,0,0.001,0.003,0.005,0.007,0.01,"ZDM.TO","BMO MSCI EAFE Hedged to CAD Index ETF"
"VSP.TO",0.024,0.001,0.06,0.817,3,-0.007,-0.002,-0.001,0.001,0.001,0.003,0.005,0.007,0.011,"VSP.TO","Vanguard S&P 500 Index ETF (CAD-hedged)"
"XFH.TO",0.008,0.003,0.022,0.56,3,-0.009,-0.003,-0.001,0,0.001,0.003,0.005,0.007,0.009,"XFH.TO","iShares Core MSCI EAFE IMI Index ETF (CAD-Hedged)"
"VUS.TO",0.019,0.001,0.049,0.803,3,-0.007,-0.002,-0.001,0,0.001,0.003,0.005,0.007,0.012,"VUS.TO","Vanguard U.S. Total Market Index ETF (CAD-Hedged)"
"ZUE.TO",0.019,0.001,0.048,0.811,3,-0.007,-0.002,-0.001,0,0.001,0.003,0.005,0.007,0.011,"ZUE.TO","BMO S&P 500 Hedged to CAD Index ETF"
"XEH.TO",0.005,0.004,0.016,0.474,3,-0.008,-0.004,-0.002,0,0.001,0.003,0.004,0.007,0.01,"XEH.TO","iShares MSCI Europe IMI Index ETF (CAD-Hedged)"
"ULV.TO",0.003,0.006,0.011,0.441,3,-0.006,-0.001,0,0,0,0.001,0.003,0.005,0.009,"ULV.TO","PowerShares S&P 500 Low Volatility (CAD Hedged) Index ETF"
"^GSPC",0.03,0.001,0.078,0.827,4,-0.007,-0.002,-0.001,0,0.001,0.002,0.004,0.008,0.012,"^GSPC","^GSPC"
"^DJI",0.008,0,0.024,0.968,4,-0.008,-0.003,-0.001,0,0.001,0.003,0.005,0.008,0.014,"^DJI","^DJI"
"^IXIC",0.007,0,0.017,1.006,4,-0.009,-0.003,-0.001,0,0.001,0.004,0.006,0.009,0.015,"^IXIC","^IXIC"
"^NYA",0.009,0.003,0.026,0.603,4,-0.006,-0.002,-0.001,0,0.001,0.002,0.004,0.006,0.01,"^NYA","^NYA"
"^RUT",0.004,0.003,0.012,0.697,4,-0.009,-0.004,-0.001,0,0.001,0.003,0.005,0.008,0.013,"^RUT","^RUT"
