"","StationaryDistribution","GOP","Membership","QuantileDR.10","QuantileDR.25","QuantileDR.35","QuantileDR.45","QuantileDR.50","QuantileDR.65","QuantileDR.75","QuantileDR.85","QuantileDR.95","Ticker","Name"
"EXV8.F",0.008,0.027,1,-0.011,-0.004,-0.001,0,0.001,0.004,0.005,0.006,0.008,"EXV8.F","iShares (DE) I - iShares STOXX Europe 600 Construction & Materials UCITS ETF (DE)"
"EXSA.F",0.018,0.06,1,-0.009,-0.002,-0.002,0,0.001,0.003,0.004,0.006,0.01,"EXSA.F","iShares STOXX Europe 600 UCITS ETF (DE)"
"C069.F",0.01,0.033,1,-0.01,-0.003,-0.001,0.001,0.001,0.004,0.005,0.007,0.011,"C069.F","ComStage - STOXX Europe 600 Industrial Goods & Services NR UCITS ETF"
"C077.F",0.002,0.007,1,-0.011,-0.006,-0.003,-0.002,-0.001,0.001,0.003,0.005,0.014,"C077.F","ComStage - STOXX Europe 600 Telecommunications NR UCITS ETF"
"EXH1.F",0.002,0.007,1,-0.014,-0.006,-0.002,0,0.001,0.005,0.008,0.01,0.017,"EXH1.F","iShares (DE) I - iShares STOXX Europe 600 Oil & Gas UCITS ETF (DE)"
"DJMC.AS",0.004,0.013,1,-0.009,-0.003,-0.001,0,0.001,0.002,0.005,0.006,0.008,"DJMC.AS","iShares Public Limited Company - iShares EURO STOXX Mid UCITS ETF"
"C051.F",0.006,0.023,1,-0.011,-0.004,-0.002,0,0,0.002,0.003,0.005,0.01,"C051.F","ComStage - EURO STOXX Select Dividend 30 NR UCITS ETF"
"EXSE.F",0.008,0.026,1,-0.009,-0.003,-0.002,0,0,0.003,0.005,0.006,0.009,"EXSE.F","iShares STOXX Europe Small 200 UCITS ETF (DE)"
"C053.F",0.027,0.077,1,-0.02,-0.007,-0.003,0,0.001,0.005,0.009,0.013,0.019,"C053.F","ComStage - EURO STOXX 50 Daily Leverage UCITS ETF"
"EXV3.F",0.003,0.01,1,-0.013,-0.004,-0.002,0.001,0.002,0.005,0.007,0.011,0.014,"EXV3.F","iShares (DE) I - iShares STOXX Europe 600 Technology UCITS ETF (DE)"
